row_num,poi_type,province,city,name,Type,desc,floor,area,staff_count,avg_move_in_floor,Lat,Lon,address,fiber,wifi,Irancell,Rightel,MCI,das_in_ibs,adsl,power,ac_type,adsl,activity_duration,activiti days,rush_hours,Status,Country
591,,خراسان رضوی,مشهد,        نبش چهارراه دانش به سمت فلکه برق ( روبروی بانک ملت),,,,,,,36.278685,59.607553,        نبش چهارراه دانش به سمت فلکه برق ( روبروی بانک ملت),,,,,,,,,,,,,,On - Air,Iran
592,,خراسان رضوی,مشهد,         روبروی بیمارستان موسی ابن جعفر,,,,,,,36.276252,59.605449,         روبروی بیمارستان موسی ابن جعفر,,,,,,,,,,,,,,On - Air,Iran
593,,خراسان رضوی,مشهد,         خیابان خسروی – روبروی باب الجواد,,,,,,,36.286149,59.610217,         خیابان خسروی – روبروی باب الجواد,,,,,,,,,,,,,,On - Air,Iran
594,,خراسان رضوی,مشهد,        خیابان خسروی روبروی هتل حافظ,,,,,,,36.288007,59.608795,        خیابان خسروی روبروی هتل حافظ,,,,,,,,,,,,,,On - Air,Iran
595,,خراسان رضوی,مشهد,      خیابان آزادی – نبش کوچه مخابرات,,,,,,,36.292023,59.607743,      خیابان آزادی – نبش کوچه مخابرات,,,,,,,,,,,,,,On - Air,Iran
596,,خراسان رضوی,مشهد,       خیابان شیرازی – نبش کوچه مخابرات ,,,,,,,36.292823,59.611272,       خیابان شیرازی – نبش کوچه مخابرات ,,,,,,,,,,,,,,On - Air,Iran
597,,خراسان رضوی,مشهد,       خیابان شیرازی – روبروی هتل مدینته الرضا,,,,,,,36.292087,59.612054,       خیابان شیرازی – روبروی هتل مدینته الرضا,,,,,,,,,,,,,,On - Air,Iran
1,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.379998,44.339989,شارع باب المراد,,,,,,,,,,,,,,On - Air,Iraq
2,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.380007,44.341384,شارع باب المراد,,,,,,,,,,,,,,On - Air,Iraq
3,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.380079,44.342532,شارع باب المراد,,,,,,,,,,,,,,On - Air,Iraq
4,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.380141,44.343304,شارع باب المراد,,,,,,,,,,,,,,On - Air,Iraq
5,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.379267,44.339367,شارع شریف رضی,,,,,,,,,,,,,,On - Air,Iraq
6,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.379065,44.339283,شارع شریف رضی,,,,,,,,,,,,,,On - Air,Iraq
7,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.37877,44.33916,شارع شریف رضی,,,,,,,,,,,,,,On - Air,Iraq
8,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.378972,44.338138,شارع باب القبله,,,,,,,,,,,,,,On - Air,Iraq
9,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.378761,44.338189,شارع باب القبله,,,,,,,,,,,,,,On - Air,Iraq
10,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.378502,44.3382,شارع باب القبله,,,,,,,,,,,,,,On - Air,Iraq
11,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.378235,44.338194,شارع باب القبله,,,,,,,,,,,,,,On - Air,Iraq
12,,بغداد,کاظمین,مرقد امام موسی کاظم,,,,,,,33.377975,44.338219,شارع باب القبله,,,,,,,,,,,,,,On - Air,Iraq
13,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996385,44.31524,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
14,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996381,44.31508,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
15,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996386,44.314924,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
16,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996381,44.314763,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
17,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996395,44.31458,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
18,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996399,44.314419,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
19,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.99639,44.314291,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
20,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996178,44.315043,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
21,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.99619,44.314924,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
22,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996178,44.31478,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
23,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996163,44.314612,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
24,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.996158,44.314478,باب شیخ طوسی,,,,,,,,,,,,,,On - Air,Iraq
25,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.995824,44.315007,باب الساعه,,,,,,,,,,,,,,On - Air,Iraq
26,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.995625,44.315021,باب الساعه,,,,,,,,,,,,,,On - Air,Iraq
27,,نجف اشرف ,نجف اشرف ,مرقد امام علی ,,,,,,,31.995562,44.315005,باب الساعه,,,,,,,,,,,,,,On - Air,Iraq
30,,کربلای المعلی,کربلای المعلی,بین الحرمین,,,,,,,32.616891,44.033442,بین الحرمین ,,,,,,,,,,,,,,On - Air,Iraq
31,,کربلای المعلی,کربلای المعلی,بین الحرمین,,,,,,,32.617008,44.033968,بین الحرمین ,,,,,,,,,,,,,,On - Air,Iraq
32,,کربلای المعلی,کربلای المعلی,بین الحرمین,,,,,,,32.617049,44.034381,بین الحرمین ,,,,,,,,,,,,,,On - Air,Iraq
33,,کربلای المعلی,کربلای المعلی,بین الحرمین,,,,,,,32.616059,44.033732,بین الحرمین ,,,,,,,,,,,,,,On - Air,Iraq
34,,کربلای المعلی,کربلای المعلی,بین الحرمین,,,,,,,32.616141,44.034311,بین الحرمین ,,,,,,,,,,,,,,On - Air,Iraq
35,,کربلای المعلی,کربلای المعلی,بین الحرمین,,,,,,,32.616222,44.034922,بین الحرمین ,,,,,,,,,,,,,,On - Air,Iraq
