id,status_id,name,type,desc,address,rush_hours,floor,area,staff_count,avg_move_in_floor,days,fiber,wifi,irancell,rightel,mci,das_in_ibs,adsl,power,ac_type,activity_duration,activity,location,city_id
51,1,مرقد امام موسی کاظم,indoor,,شارع شریف رضی,,,,,,,f,f,f,f,f,f,f,f,f,,,"33.379065,44.339283",16
52,1,مرقد امام موسی کاظم,indoor,,شارع شریف رضی,,,,,,,f,f,f,f,f,f,f,f,f,,,"33.37877,44.33916",16
53,1,مرقد امام موسی کاظم,indoor,,شارع باب القبله,,,,,,,f,f,f,f,f,f,f,f,f,,,"33.378972,44.338138",16
54,1,مرقد امام موسی کاظم,indoor,,شارع باب القبله,,,,,,,f,f,f,f,f,f,f,f,f,,,"33.378761,44.338189",16
55,1,مرقد امام موسی کاظم,indoor,,شارع باب القبله,,,,,,,f,f,f,f,f,f,f,f,f,,,"33.378502,44.3382",16
56,1,مرقد امام موسی کاظم,indoor,,شارع باب القبله,,,,,,,f,f,f,f,f,f,f,f,f,,,"33.378235,44.338194",16
57,1,مرقد امام موسی کاظم,indoor,,شارع باب القبله,,,,,,,f,f,f,f,f,f,f,f,f,,,"33.377975,44.338219",16
58,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996385,44.31524",16
59,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996381,44.31508",16
60,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996386,44.314924",16
61,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996381,44.314763",16
62,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996395,44.31458",16
63,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996399,44.314419",16
64,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.99639,44.314291",16
65,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996178,44.315043",16
66,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.99619,44.314924",16
67,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996178,44.31478",16
68,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996163,44.314612",16
69,1,مرقد امام علی ,indoor,,باب شیخ طوسی,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.996158,44.314478",16
70,1,مرقد امام علی ,indoor,,باب الساعه,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.995824,44.315007",16
71,1,مرقد امام علی ,indoor,,باب الساعه,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.995625,44.315021",16
72,1,مرقد امام علی ,indoor,,باب الساعه,,,,,,,f,f,f,f,f,f,f,f,f,,,"31.995562,44.315005",16
73,1,بین الحرمین,indoor,,بین الحرمین ,,,,,,,f,f,f,f,f,f,f,f,f,,,"32.616891,44.033442",16
74,1,بین الحرمین,indoor,,بین الحرمین ,,,,,,,f,f,f,f,f,f,f,f,f,,,"32.617008,44.033968",16
75,1,بین الحرمین,indoor,,بین الحرمین ,,,,,,,f,f,f,f,f,f,f,f,f,,,"32.617049,44.034381",16
76,1,بین الحرمین,indoor,,بین الحرمین ,,,,,,,f,f,f,f,f,f,f,f,f,,,"32.616059,44.033732",16
77,1,بین الحرمین,indoor,,بین الحرمین ,,,,,,,f,f,f,f,f,f,f,f,f,,,"32.616141,44.034311",16
78,1,بین الحرمین,indoor,,بین الحرمین ,,,,,,,f,f,f,f,f,f,f,f,f,,,"32.616222,44.034922",16
